Garden,Species ID,Old_Sample label,New_Labels,Provinence
Botanic Gardens of Sydney (BGS),E. bubalinus,B26A,BGS_B1,unknown
Botanic Gardens of Sydney (BGS),E. sclavoi,S26B,BGS_S2,unknown
Botanic Gardens of Sydney (BGS),E. hildebrandtii,H26C,BGS_H3,unknown
Botanical Garden at University of Hawaii-Hilo(UH),E. kisambo,K-5-1,UH_K1,
Botanical Garden at University of Hawaii-Hilo(UH),E. kisambo,K-5-2,UH_K2,
Botanical Garden at University of Hawaii-Hilo(UH),E. kisambo,K-5-3,UH_K3,
Botanical Garden at University of Hawaii-Hilo(UH),E. hildebrandtii,H-5-1,UH_H4,
Botanical Garden at University of Hawaii-Hilo(UH),E. hildebrandtii,H-5-2,UH_H5,
Botanical Garden at University of Hawaii-Hilo(UH),E. hildebrandtii,H-5-3,UH_H6,
Botanischer Garten der Universitat Bern (BOGA),E. sclavoi,S15A,BOGA_S1,Tanzania
Botanischer Garten der Universität Heidelberg (HEID),E. hildebrandtii,H19B,HEID_H2,unknown
Botanischer Garten der Universität Heidelberg (HEID),E. hildebrandtii,H19C,HEID_H3,unknown
"Brisbane Botanic Gardens, Mt Coot-tha, QLD,Australia (BBG)",E. kisambo,K25A,BBG_K1,
"Brisbane Botanic Gardens, Mt Coot-tha, QLD,Australia (BBG)",E. sclavoi,S25B,BBG_S2,
"Brisbane Botanic Gardens, Mt Coot-tha, QLD,Australia (BBG)",E. hildebrandtii,H25C,BBG_H3,
"Brisbane Botanic Gardens, Mt Coot-tha, QLD,Australia (BBG)",E. hildebrandtii,H25D,BBG_H4,
Denver Botanic Garden (DBG),E. hildebrandtii,H-9-1,DBG_H1,
Descanso Garden (DG),E. kisambo,K-8-A,DG_K1,unknown
Descanso Garden (DG),E. kisambo,K-8-B,DG_K2,unknown
Descanso Garden (DG),E. sclavoi,S-8-C,DG_S3,unknown
Descanso Garden (DG),E. kisambo,K-8-D,DG_K4,unknown
Descanso Garden (DG),E. hildebrandtii,H-8-E,DG_H5,unknown
Descanso Garden (DG),E. sclavoi,S-8-F,DG_S6,unknown
Edison & Ford Winter Estates (EFWE),E. kisambo,K14A,EFWE_K1,unknown
Edison & Ford Winter Estates (EFWE),E. hildebrandtii,H14B,EFWE_H2,unknown
Edison & Ford Winter Estates (EFWE),E. bubalinus,B14C,EFWE_B3,unknown
Ganna Walska Lotusland (GWL),E. bubalinus,B-12-1,GWL_B1,Tanzania
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-2,GWL_H2,
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-3,GWL_H3,Kenya
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-4,GWL_H4,
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-5,GWL_H5,
Ganna Walska Lotusland (GWL),E. kisambo,K-12-2,GWL_K6,Kenya
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-6,GWL_H7,Tanzania
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-7,GWL_H8,Kenya
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-8,GWL_H9,Kenya
Ganna Walska Lotusland (GWL),E. bubalinus,B-12-2,GWL_B10,Tanzania
Ganna Walska Lotusland (GWL),E. sclavoi,S-12-1,GWL_S11,Tanzania
Ganna Walska Lotusland (GWL),E. kisambo,K-12-3,GWL_K12,Kenya
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-9,GWL_H13,Kenya
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-10,GWL_H14,
Ganna Walska Lotusland (GWL),E. kisambo,K-12-1,GWL_K15,
Ganna Walska Lotusland (GWL),E. hildebrandtii,H-12-1,GWL_H16,Kenya
Garfield Park Conseratory (GP),E. hildebrandtii,GP11,GP_H1,
Honolulu Botanical Garden (HBG),E. hildebrandtii,H18A,HBG_H1,
Huntington Botanical Garden (HNT),E. kisambo,K-3-1,HNT_K1,Kenya
Huntington Botanical Garden (HNT),E. kisambo,K-3-2,HNT_K2,Kenya
Huntington Botanical Garden (HNT),E. kisambo,K-3-3,HNT_K3,
Huntington Botanical Garden (HNT),E. kisambo,K-3-4,HNT_K4,Kenya
Huntington Botanical Garden (HNT),E. kisambo,K-3-5,HNT_K5,
Huntington Botanical Garden (HNT),E. kisambo,K-3-6,HNT_K6,
Huntington Botanical Garden (HNT),E. kisambo,K-3-7,HNT_K7,
Huntington Botanical Garden (HNT),E. kisambo,K-3-8,HNT_K8,
Huntington Botanical Garden (HNT),E. sclavoi,S-3-1,HNT_S9,
Huntington Botanical Garden (HNT),E. sclavoi,S-3-2,HNT_S10,Tanzania
Huntington Botanical Garden (HNT),E. sclavoi,S-3-3,HNT_S11,Tanzania
Huntington Botanical Garden (HNT),E. bubalinus,B-3-1,HNT_B12,Tanzania
